test_id,category,variety,condition,model,input,output,source_retention,cross_substitution_rate,protected_term_loss,unchanged,suspect_reasoning_leak
LEX001,lexical,qc,baseline,openai:openai/gpt-4o-mini,Vous pouvez consulter votre dossier en ligne et communiquer avec nous par courriel.,Vous avez la possibilité de consulter votre dossier en ligne et de nous contacter par courriel.,1.0,0.0,0.0,False,False
SEM005,semantic,qc,baseline,openai:openai/gpt-4o-mini,Une liqueur est incluse avec le repas du midi.,Une liqueur est servie avec le déjeuner.,1.0,0.0,0.0,False,False
FRC001,lexical,fr,baseline,openai:openai/gpt-4o-mini,Vous pouvez consulter votre dossier en ligne et nous contacter par e-mail.,Vous avez la possibilité de consulter votre dossier en ligne et de nous contacter par e-mail.,1.0,0.0,0.0,False,False
FRC001,lexical,fr,canadian,openai:openai/gpt-4o-mini,Vous pouvez consulter votre dossier en ligne et nous contacter par e-mail.,Vous pouvez consulter votre dossier en ligne et nous rejoindre par courriel.,0.0,1.0,1.0,False,False
FRC001,lexical,fr,metropolitan,openai:openai/gpt-4o-mini,Vous pouvez consulter votre dossier en ligne et nous contacter par e-mail.,Vous avez la possibilité de consulter votre dossier en ligne et de nous joindre par e-mail.,1.0,0.0,0.0,False,False
FRC001,lexical,fr,proofread,openai:openai/gpt-4o-mini,Vous pouvez consulter votre dossier en ligne et nous contacter par e-mail.,Vous pouvez consulter votre dossier en ligne et nous contacter par courriel.,0.0,1.0,1.0,False,False
FRC002,lexical,fr,baseline,openai:openai/gpt-4o-mini,Le parking est accessible derrière le bâtiment à partir de 7 h.,Le stationnement est accessible derrière le bâtiment à partir de 7 heures.,0.0,1.0,1.0,False,False
FRC002,lexical,fr,canadian,openai:openai/gpt-4o-mini,Le parking est accessible derrière le bâtiment à partir de 7 h.,Le stationnement est accessible derrière le bâtiment à partir de 7 h.,0.0,1.0,1.0,False,False
FRC002,lexical,fr,metropolitan,openai:openai/gpt-4o-mini,Le parking est accessible derrière le bâtiment à partir de 7 h.,Le stationnement est disponible à l'arrière du bâtiment dès 7 heures.,0.0,1.0,1.0,False,False
FRC002,lexical,fr,proofread,openai:openai/gpt-4o-mini,Le parking est accessible derrière le bâtiment à partir de 7 h.,Le parking est accessible derrière le bâtiment à partir de 7 h.,1.0,0.0,0.0,True,False
FRC003,lexical,fr,baseline,openai:openai/gpt-4o-mini,L'activité aura lieu le week-end prochain au centre social.,L'événement se déroulera le week-end prochain au centre social.,1.0,0.0,0.0,False,False
FRC003,lexical,fr,canadian,openai:openai/gpt-4o-mini,L'activité aura lieu le week-end prochain au centre social.,L'activité va se tenir le week-end prochain au centre communautaire.,1.0,0.0,0.0,False,False
FRC003,lexical,fr,metropolitan,openai:openai/gpt-4o-mini,L'activité aura lieu le week-end prochain au centre social.,L'événement se déroulera le week-end prochain au centre social.,1.0,0.0,0.0,False,False
FRC003,lexical,fr,proofread,openai:openai/gpt-4o-mini,L'activité aura lieu le week-end prochain au centre social.,L'activité aura lieu le week-end prochain au centre social.,1.0,0.0,0.0,True,False
FRC004,lexical,fr,baseline,openai:openai/gpt-4o-mini,Profitez de nos soldes pour faire votre shopping de Noël.,Profitez de nos promotions pour faire vos achats de Noël.,0.0,0.0,1.0,False,False
FRC004,lexical,fr,canadian,openai:openai/gpt-4o-mini,Profitez de nos soldes pour faire votre shopping de Noël.,Profitez de nos rabais pour faire vos emplettes de Noël.,0.0,0.0,1.0,False,False
FRC004,lexical,fr,metropolitan,openai:openai/gpt-4o-mini,Profitez de nos soldes pour faire votre shopping de Noël.,Profitez de nos promotions pour réaliser vos achats de Noël.,0.0,0.0,1.0,False,False
FRC004,lexical,fr,proofread,openai:openai/gpt-4o-mini,Profitez de nos soldes pour faire votre shopping de Noël.,Profitez de nos soldes pour faire vos achats de Noël.,0.0,0.0,1.0,False,False
FRC005,lexical,fr,baseline,openai:openai/gpt-4o-mini,Ce pull en laine est disponible en trois couleurs.,Ce pull en laine se décline en trois couleurs.,1.0,0.0,0.0,False,False
FRC005,lexical,fr,canadian,openai:openai/gpt-4o-mini,Ce pull en laine est disponible en trois couleurs.,Ce chandail en laine est offert en trois couleurs.,0.0,1.0,1.0,False,False
FRC005,lexical,fr,metropolitan,openai:openai/gpt-4o-mini,Ce pull en laine est disponible en trois couleurs.,Ce pull en laine se décline en trois teintes.,1.0,0.0,0.0,False,False
FRC005,lexical,fr,proofread,openai:openai/gpt-4o-mini,Ce pull en laine est disponible en trois couleurs.,Ce pull en laine est disponible en trois couleurs.,1.0,0.0,0.0,True,False
FRC006,lexical,fr,baseline,openai:openai/gpt-4o-mini,Notre podcast hebdomadaire est désormais disponible sur toutes les plateformes.,Notre podcast hebdomadaire est maintenant accessible sur toutes les plateformes.,1.0,0.0,0.0,False,False
FRC006,lexical,fr,canadian,openai:openai/gpt-4o-mini,Notre podcast hebdomadaire est désormais disponible sur toutes les plateformes.,Notre balado hebdomadaire est maintenant accessible sur toutes les plateformes.,0.0,0.0,1.0,False,False
