test_id,category,variety,condition,model,input,output,source_retention,cross_substitution_rate,protected_term_loss,unchanged,suspect_reasoning_leak
LEX001,lexical,qc,baseline,openai:croissant-base,Vous pouvez consulter votre dossier en ligne et communiquer avec nous par courriel.,Vous pouvez consulter votre dossier en ligne et communiquer avec nous par courriel.,1.0,0.0,0.0,True,False
LEX001,lexical,qc,canadian,openai:croissant-base,Vous pouvez consulter votre dossier en ligne et communiquer avec nous par courriel.,Vous pouvez consulter votre dossier en ligne et nous contacter par courriel.,1.0,0.0,0.0,False,False
LEX001,lexical,qc,metropolitan,openai:croissant-base,Vous pouvez consulter votre dossier en ligne et communiquer avec nous par courriel.,Vous pouvez consulter votre dossier en ligne et communiquer avec nous par courriel.,1.0,0.0,0.0,True,False
LEX001,lexical,qc,proofread,openai:croissant-base,Vous pouvez consulter votre dossier en ligne et communiquer avec nous par courriel.,Vous pouvez consulter votre dossier en ligne et communiquer avec nous par courriel.,1.0,0.0,0.0,True,False
SEM003,semantic,qc,baseline,openai:croissant-base,Nous souperons vers 18 h avec les grands-parents.,"Vers 18 h, nous dînerons avec les grands-parents.",0.0,1.0,1.0,False,False
SEM003,semantic,qc,canadian,openai:croissant-base,Nous souperons vers 18 h avec les grands-parents.,Nous souperons vers 18 h avec les grands-parents.,1.0,0.0,0.0,True,False
SEM003,semantic,qc,metropolitan,openai:croissant-base,Nous souperons vers 18 h avec les grands-parents.,Nous dînerons vers 18 h avec les grands-parents.,0.0,1.0,1.0,False,False
SEM003,semantic,qc,proofread,openai:croissant-base,Nous souperons vers 18 h avec les grands-parents.,Nous dînerons vers 18 h avec les grands-parents.,0.0,1.0,1.0,False,False
FRC001,lexical,fr,baseline,openai:croissant-base,Vous pouvez consulter votre dossier en ligne et nous contacter par e-mail.,Vous pouvez consulter votre dossier en ligne et nous contacter par e-mail.,1.0,0.0,0.0,True,False
FRC001,lexical,fr,canadian,openai:croissant-base,Vous pouvez consulter votre dossier en ligne et nous contacter par e-mail.,Vous pouvez consulter votre dossier en ligne et nous contacter par e-mail.,1.0,0.0,0.0,True,False
FRC001,lexical,fr,metropolitan,openai:croissant-base,Vous pouvez consulter votre dossier en ligne et nous contacter par e-mail.,Vous pouvez consulter votre dossier en ligne et nous contacter par e-mail.,1.0,0.0,0.0,True,False
FRC001,lexical,fr,proofread,openai:croissant-base,Vous pouvez consulter votre dossier en ligne et nous contacter par e-mail.,Vous pouvez consulter votre dossier en ligne et nous contacter par e-mail.,1.0,0.0,0.0,True,False
FRC002,lexical,fr,baseline,openai:croissant-base,Le parking est accessible derrière le bâtiment à partir de 7 h.,Le parking est accessible derrière le bâtiment à partir de 7 heures du matin.,1.0,0.0,0.0,False,False
FRC002,lexical,fr,canadian,openai:croissant-base,Le parking est accessible derrière le bâtiment à partir de 7 h.,Le parking est accessible derrière le bâtiment à partir de 7 h.,1.0,0.0,0.0,True,False
FRC002,lexical,fr,metropolitan,openai:croissant-base,Le parking est accessible derrière le bâtiment à partir de 7 h.,Le parking est accessible derrière le bâtiment à partir de 7 heures du matin.,1.0,0.0,0.0,False,False
FRC002,lexical,fr,proofread,openai:croissant-base,Le parking est accessible derrière le bâtiment à partir de 7 h.,"Le parking est accessible derrière le bâtiment à partir de 7 heures.
correction : Le parking est accessible derrière le bâtiment à partir de 7 heures.",1.0,0.0,0.0,False,False
FRC003,lexical,fr,baseline,openai:croissant-base,L'activité aura lieu le week-end prochain au centre social.,L'activité aura lieu le week-end prochain au centre social.,1.0,0.0,0.0,True,False
FRC003,lexical,fr,canadian,openai:croissant-base,L'activité aura lieu le week-end prochain au centre social.,L'activité aura lieu le week-end prochain au centre social.,1.0,0.0,0.0,True,False
FRC003,lexical,fr,metropolitan,openai:croissant-base,L'activité aura lieu le week-end prochain au centre social.,L'activité aura lieu le week-end prochain au centre social.,1.0,0.0,0.0,True,False
FRC003,lexical,fr,proofread,openai:croissant-base,L'activité aura lieu le week-end prochain au centre social.,L'activité aura lieu le week-end prochain au centre social.,1.0,0.0,0.0,True,False
FRC004,lexical,fr,baseline,openai:croissant-base,Profitez de nos soldes pour faire votre shopping de Noël.,Profitez de nos soldes pour faire votre shopping de Noël.,1.0,0.0,0.0,True,False
FRC004,lexical,fr,canadian,openai:croissant-base,Profitez de nos soldes pour faire votre shopping de Noël.,Profitez des soldes pour faire vos achats de Noël !,0.0,0.0,1.0,False,False
FRC004,lexical,fr,metropolitan,openai:croissant-base,Profitez de nos soldes pour faire votre shopping de Noël.,Profitez de nos soldes pour faire votre shopping de Noël.,1.0,0.0,0.0,True,False
FRC004,lexical,fr,proofread,openai:croissant-base,Profitez de nos soldes pour faire votre shopping de Noël.,Profitez de nos soldes pour faire votre shopping de Noël.,1.0,0.0,0.0,True,False
FRC005,lexical,fr,baseline,openai:croissant-base,Ce pull en laine est disponible en trois couleurs.,Ce pull en laine est disponible en trois couleurs.,1.0,0.0,0.0,True,False
FRC005,lexical,fr,canadian,openai:croissant-base,Ce pull en laine est disponible en trois couleurs.,Ce pull en laine est disponible en trois couleurs.,1.0,0.0,0.0,True,False
FRC005,lexical,fr,metropolitan,openai:croissant-base,Ce pull en laine est disponible en trois couleurs.,Ce pull en laine est disponible en trois couleurs.,1.0,0.0,0.0,True,False
FRC005,lexical,fr,proofread,openai:croissant-base,Ce pull en laine est disponible en trois couleurs.,"Ce pull en laine est disponible en trois couleurs.
Ce pull est disponible en trois couleurs.
Ce pull est disponible en trois couleurs.
Ce pull est disponible en trois couleurs.
Ce pull est disponible en trois couleurs.
Ce pull est disponible en trois couleurs.
Ce pull est disponible en trois couleurs.
Ce pull est disponible en trois couleurs.
Ce pull est disponible en trois couleurs.
Ce pull est disponible en trois couleurs.
Ce pull est disponible en trois couleurs.
Ce pull est disponible en trois couleurs.
Ce pull est disponible en trois couleurs.
Ce pull est disponible en trois couleurs.
Ce pull est disponible en trois couleurs.
Ce pull est disponible en trois couleurs.
Ce pull est disponible en trois couleurs.
Ce pull est disponible en trois couleurs.
Ce pull est disponible en trois couleurs.
Ce pull est disponible en trois couleurs.
Ce pull est disponible en trois couleurs.
Ce pull est disponible en trois couleurs.
Ce pull est disponible en trois couleurs.
Ce pull est disponible en trois couleurs.
Ce pull est disponible en trois couleurs.
Ce pull est disponible en trois couleurs.
Ce pull est disponible en trois couleurs.
Ce pull est disponible en trois couleurs.
Ce pull est disponible en trois couleurs.
Ce pull est disponible en trois couleurs.
Ce pull est disponible en trois couleurs.
Ce pull est disponible en trois couleurs.
Ce pull est disponible en trois couleurs.
Ce pull est disponible en trois couleurs.
Ce pull est disponible en trois couleurs.
Ce pull est disponible en trois couleurs.
Ce",1.0,0.0,0.0,False,False
FRC006,lexical,fr,baseline,openai:croissant-base,Notre podcast hebdomadaire est désormais disponible sur toutes les plateformes.,Notre podcast hebdomadaire est désormais disponible sur toutes les plateformes.,1.0,0.0,0.0,True,False
FRC006,lexical,fr,canadian,openai:croissant-base,Notre podcast hebdomadaire est désormais disponible sur toutes les plateformes.,Podcast hebdomadaire disponible sur toutes les plateformes !,1.0,0.0,0.0,False,False
FRC006,lexical,fr,metropolitan,openai:croissant-base,Notre podcast hebdomadaire est désormais disponible sur toutes les plateformes.,Notre podcast hebdomadaire est désormais disponible sur toutes les plateformes.,1.0,0.0,0.0,True,False
FRC006,lexical,fr,proofread,openai:croissant-base,Notre podcast hebdomadaire est désormais disponible sur toutes les plateformes.,Notre podcast hebdomadaire est désormais disponible sur toutes les plateformes.,1.0,0.0,0.0,True,False
FRC007,terminology,fr,baseline,openai:croissant-base,Votre smartphone peut se connecter au réseau Wi-Fi de la maison.,Votre smartphone peut se connecter au réseau Wi-Fi de la maison.,1.0,0.0,0.0,True,False
