test_id,category,variety,condition,model,input,output,source_retention,cross_substitution_rate,protected_term_loss,unchanged,suspect_reasoning_leak
FRC001,lexical,fr,baseline,qwen2.5:14b-instruct,Vous pouvez consulter votre dossier en ligne et nous contacter par e-mail.,Vous pouvez consulter votre dossier en ligne et nous contacter par email.,1.0,0.0,1.0,False,False
FRC001,lexical,fr,canadian,qwen2.5:14b-instruct,Vous pouvez consulter votre dossier en ligne et nous contacter par e-mail.,Tu peux jeter un coup d'œil à ton dossier en-ligne et nous joindre par courriel.,0.0,1.0,1.0,False,False
FRC001,lexical,fr,metropolitan,qwen2.5:14b-instruct,Vous pouvez consulter votre dossier en ligne et nous contacter par e-mail.,Vous avez la possibilité de consulter votre dossier en ligne et de nous joindre par mail.,1.0,0.0,1.0,False,False
FRC001,lexical,fr,proofread,qwen2.5:14b-instruct,Vous pouvez consulter votre dossier en ligne et nous contacter par e-mail.,Vous pouvez consulter votre dossier en ligne et nous contacter par e-mail.,1.0,0.0,0.0,True,False
FRC002,lexical,fr,baseline,qwen2.5:14b-instruct,Le parking est accessible derrière le bâtiment à partir de 7 h.,Le parking se trouve derrière le bâtiment et est accessible à partir de 7 heures.,1.0,0.0,0.0,False,False
FRC002,lexical,fr,canadian,qwen2.5:14b-instruct,Le parking est accessible derrière le bâtiment à partir de 7 h.,L'parking est accessible arrière du bâti à compter de 7 heures.,1.0,0.0,0.0,False,False
FRC002,lexical,fr,metropolitan,qwen2.5:14b-instruct,Le parking est accessible derrière le bâtiment à partir de 7 h.,Le stationnement est disponible derrière l'édifice dès 7 heures.,0.0,1.0,1.0,False,False
FRC002,lexical,fr,proofread,qwen2.5:14b-instruct,Le parking est accessible derrière le bâtiment à partir de 7 h.,Le parking est accessible derrière le bâtiment à partir de 7 heures.,1.0,0.0,0.0,False,False
FRC003,lexical,fr,baseline,qwen2.5:14b-instruct,L'activité aura lieu le week-end prochain au centre social.,L'activité se déroulera le weekend prochain au centre social.,1.0,0.0,1.0,False,False
FRC003,lexical,fr,canadian,qwen2.5:14b-instruct,L'activité aura lieu le week-end prochain au centre social.,"L'activity va se passer le weekend prochain au centre social. 

(Note: Il y a une légère erreur dans la demande de retourner à la variété linguistique tout en préservant le sens, car ""activity"" n'est pas un terme couramment utilisé en français québécois pour ce contexte. La formulation correcte serait plutôt : ""L'activité va avoir lieu le weekend prochain au centre social."") 

Donc voici la version corrigée et ajustée :

L'activité va avoir lieu le weekend prochain au centre social.",1.0,0.0,1.0,False,False
FRC003,lexical,fr,metropolitan,qwen2.5:14b-instruct,L'activité aura lieu le week-end prochain au centre social.,L’animation se déroulera le weekend à venir au sein du centre social.,1.0,0.0,1.0,False,False
FRC003,lexical,fr,proofread,qwen2.5:14b-instruct,L'activité aura lieu le week-end prochain au centre social.,L'activité aura lieu le week-end prochain au centre social.,1.0,0.0,0.0,True,False
