test_id,category,variety,condition,model,input,output,source_retention,cross_substitution_rate,protected_term_loss,unchanged,suspect_reasoning_leak
FRC001,lexical,fr,baseline,transformers:Qwen2.5-7B-Instruct,Vous pouvez consulter votre dossier en ligne et nous contacter par e-mail.,Vous pouvez accéder à votre dossier en ligne et nous contacter par e-mail.,1.0,0.0,0.0,False,False
FRC001,lexical,fr,canadian,transformers:Qwen2.5-7B-Instruct,Vous pouvez consulter votre dossier en ligne et nous contacter par e-mail.,Vous pouvez vérifier votre dossier en ligne et nous joindre par courriel.,0.0,1.0,1.0,False,False
FRC001,lexical,fr,metropolitan,transformers:Qwen2.5-7B-Instruct,Vous pouvez consulter votre dossier en ligne et nous contacter par e-mail.,Vous pouvez accéder à votre dossier en ligne et nous joindre par e-mail.,1.0,0.0,0.0,False,False
FRC001,lexical,fr,proofread,transformers:Qwen2.5-7B-Instruct,Vous pouvez consulter votre dossier en ligne et nous contacter par e-mail.,Vous pouvez consulter votre dossier en ligne et nous contacter par e-mail.,1.0,0.0,0.0,True,False
FRC002,lexical,fr,baseline,transformers:Qwen2.5-7B-Instruct,Le parking est accessible derrière le bâtiment à partir de 7 h.,Le parking est accessible derrière le bâtiment à partir de 7 h.,1.0,0.0,0.0,True,False
FRC002,lexical,fr,canadian,transformers:Qwen2.5-7B-Instruct,Le parking est accessible derrière le bâtiment à partir de 7 h.,Le parking est accessible derrière le bâtiment dès 7 heures.,1.0,0.0,0.0,False,False
FRC002,lexical,fr,metropolitan,transformers:Qwen2.5-7B-Instruct,Le parking est accessible derrière le bâtiment à partir de 7 h.,Le parking se trouve derrière l'immeuble et est accessible dès 7 heures.,1.0,0.0,0.0,False,False
FRC002,lexical,fr,proofread,transformers:Qwen2.5-7B-Instruct,Le parking est accessible derrière le bâtiment à partir de 7 h.,Le parking est accessible derrière le bâtiment à partir de 7 h.,1.0,0.0,0.0,True,False
FRC003,lexical,fr,baseline,transformers:Qwen2.5-7B-Instruct,L'activité aura lieu le week-end prochain au centre social.,L'activité aura lieu le week-end prochain au centre social.,1.0,0.0,0.0,True,False
FRC003,lexical,fr,canadian,transformers:Qwen2.5-7B-Instruct,L'activité aura lieu le week-end prochain au centre social.,L'activité se tiendra le week-end prochain au centre social.,1.0,0.0,0.0,False,False
FRC003,lexical,fr,metropolitan,transformers:Qwen2.5-7B-Instruct,L'activité aura lieu le week-end prochain au centre social.,L'activité se tiendra le week-end prochain au centre social.,1.0,0.0,0.0,False,False
FRC003,lexical,fr,proofread,transformers:Qwen2.5-7B-Instruct,L'activité aura lieu le week-end prochain au centre social.,L'activité aura lieu le week-end prochain au centre social.,1.0,0.0,0.0,True,False
FRC004,lexical,fr,baseline,transformers:Qwen2.5-7B-Instruct,Profitez de nos soldes pour faire votre shopping de Noël.,Profitez de nos soldes pour vos achats de Noël.,0.0,0.0,1.0,False,False
FRC004,lexical,fr,canadian,transformers:Qwen2.5-7B-Instruct,Profitez de nos soldes pour faire votre shopping de Noël.,Profitez des nos soldes pour faire votre shopping de Noël.,1.0,0.0,0.0,False,False
FRC004,lexical,fr,metropolitan,transformers:Qwen2.5-7B-Instruct,Profitez de nos soldes pour faire votre shopping de Noël.,Profitez des soldes pour vos achats de Noël.,0.0,0.0,1.0,False,False
FRC004,lexical,fr,proofread,transformers:Qwen2.5-7B-Instruct,Profitez de nos soldes pour faire votre shopping de Noël.,Profitez de nos soldes pour faire votre shopping de Noël.,1.0,0.0,0.0,True,False
FRC005,lexical,fr,baseline,transformers:Qwen2.5-7B-Instruct,Ce pull en laine est disponible en trois couleurs.,Ce pull en laine est disponible dans trois couleurs.,1.0,0.0,0.0,False,False
FRC005,lexical,fr,canadian,transformers:Qwen2.5-7B-Instruct,Ce pull en laine est disponible en trois couleurs.,Ce pull en laine est disponible dans trois couleurs.,1.0,0.0,0.0,False,False
FRC005,lexical,fr,metropolitan,transformers:Qwen2.5-7B-Instruct,Ce pull en laine est disponible en trois couleurs.,Ce pull en laine est proposé dans trois teintes.,1.0,0.0,0.0,False,False
FRC005,lexical,fr,proofread,transformers:Qwen2.5-7B-Instruct,Ce pull en laine est disponible en trois couleurs.,Ce pull en laine est disponible dans trois couleurs.,1.0,0.0,0.0,False,False
FRC006,lexical,fr,baseline,transformers:Qwen2.5-7B-Instruct,Notre podcast hebdomadaire est désormais disponible sur toutes les plateformes.,Notre podcast publié chaque semaine est maintenant disponible sur toutes les plateformes.,1.0,0.0,0.0,False,False
FRC006,lexical,fr,canadian,transformers:Qwen2.5-7B-Instruct,Notre podcast hebdomadaire est désormais disponible sur toutes les plateformes.,Notre podcast hebdomadaire est maintenant disponible sur toutes les plateformes.,1.0,0.0,0.0,False,False
FRC006,lexical,fr,metropolitan,transformers:Qwen2.5-7B-Instruct,Notre podcast hebdomadaire est désormais disponible sur toutes les plateformes.,Notre podcast publié chaque semaine est maintenant disponible sur toutes les plateformes.,1.0,0.0,0.0,False,False
