test_id,category,variety,condition,model,input,output,source_retention,cross_substitution_rate,protected_term_loss,unchanged,suspect_reasoning_leak
FRC001,lexical,fr,baseline,openai:qc-llama1b,Vous pouvez consulter votre dossier en ligne et nous contacter par e-mail.,C'est pas mal de la même chose .C'est pas mal de la même chose .C'est pas mal de la même chose .C'est pas mal de la même chose .C'est pas mal de la même chose .C'est pas mal de la même chose .C'est pas mal de la même chose .C'est pas mal de la même chose .C'est pas mal de la même chose .C'est pas mal de la même chose .C'est pas mal de la même chose .C'est pas mal de la même chose .C'est pas mal de la même chose .C'est pas mal de la même chose .C'est pas mal de la même chose .C'est pas mal de la même chose .C'est pas mal de la même chose .C'est pas mal de la même chose .C'est pas mal de la même chose .C'est pas mal de la même chose .C'est pas mal de la même chose .C'est pas mal de la même chose .C'est pas mal de la même chose .C'est pas mal de la même chose .C'est pas mal de la même chose .C'est pas mal de,0.0,0.0,1.0,False,False
FRC002,lexical,fr,baseline,openai:qc-llama1b,Le parking est accessible derrière le bâtiment à partir de 7 h.,C'est pas un problème de la part de la personne qui a fait le commentaire .C'est pas un problème de la part de la personne qui a fait le commentaire .C'est pas un problème de la part de la personne qui a fait le commentaire .C'est pas un problème de la part de la personne qui a fait le commentaire .C'est pas un problème de la part de la personne qui a fait le commentaire .C'est pas un problème de la part de la personne qui a fait le commentaire .- C'est pas un problème de la part de la personne qui a fait le commentaire .C'est pas un problème de la part de la personne qui a fait le commentaire .- C'est pas un problème de la part de la personne qui a fait le commentaire .- C'est pas un problème de la part de la personne qui a fait le commentaire .C'est pas un problème de la part de la personne qui a fait le commentaire .C'est pas un problème de la part de la personne qui a fait le commentaire .- C'est pas un problème de la part de la personne qui a fait le commentaire .- C'est pas un problème de la part de la personne qui a fait le commentaire,0.0,0.0,1.0,False,False
FRC003,lexical,fr,baseline,openai:qc-llama1b,L'activité aura lieu le week-end prochain au centre social.,C'est un peu comme si tu étais un assistant de rédaction en français.C'est un peu comme si tu étais un assistant de rédaction en français.C'est un peu comme si tu étais un assistant de rédaction en français.C'est un peu comme si tu étais un assistant de rédaction en français.C'est un peu comme si tu étais un assistant de rédaction en français.C'est un peu comme si tu étais un assistant de rédaction en français.C'est un peu comme si tu étais un assistant de rédaction en français.C'est un peu comme si tu étais un assistant de rédaction en français.C'est un peu comme si tu étais un assistant de rédaction en français.C'est un peu comme si tu étais un assistant de rédaction en français.C'est un peu comme si tu étais un assistant de rédaction en français.C'est un peu comme si tu étais un assistant de rédaction en français.C'est un peu comme si tu étais un assistant de réd,0.0,0.0,1.0,False,False
FRC004,lexical,fr,baseline,openai:qc-llama1b,Profitez de nos soldes pour faire votre shopping de Noël.,C'est pas mal de la même chose .C'est pas mal de la même chose .C'est pas mal de la même chose .C'est pas mal de la même chose .C'est pas mal de la même chose .C'est pas mal de la même chose .C'est pas mal de la même chose .C'est pas mal de la même chose .C'est pas mal de la même chose .C'est pas mal de la même chose .C'est pas mal de la même chose .C'est pas mal de la même chose .C'est pas mal de la même chose .C'est pas mal de la même chose .C'est pas mal de la même chose .C'est pas mal de la même chose .C'est pas mal de la même chose .C'est pas mal de la même chose .C'est pas mal de la même chose .C'est pas mal de la même chose .C'est pas mal de la même chose .C'est pas mal de la même chose .C'est pas mal de la même chose .C'est pas mal de la même chose .C'est pas mal de la même chose .C'est pas mal de,0.0,0.0,1.0,False,False
FRC005,lexical,fr,baseline,openai:qc-llama1b,Ce pull en laine est disponible en trois couleurs.,C'est pas mal de faire un film avec des gens qui ne savent pas quoi faire .C'est un peu comme si tu faisais un film avec des gens qui ne savent pas quoi faire .C'est un peu comme si tu faisais un film avec des gens qui ne savent pas quoi faire .C'est un peu comme si tu faisais un film avec des gens qui ne savent pas quoi faire .C'est un peu comme si tu faisais un film avec des gens qui ne savent pas quoi faire .C'est un peu comme si tu faisais un film avec des gens qui ne savent pas quoi faire .C'est un peu comme si tu faisais un film avec des gens qui ne savent pas quoi faire .C'est un peu comme si tu faisais un film avec des gens qui ne savent pas quoi faire .C'est un peu comme si tu faisais un film avec des gens qui ne savent pas quoi faire .C'est un peu comme si tu faisais un film avec des gens qui ne savent pas quoi faire .C'est un peu comme si tu faisais un film avec des gens qui ne savent pas quoi faire .C'est un peu comme,0.0,0.0,1.0,False,False
FRC006,lexical,fr,baseline,openai:qc-llama1b,Notre podcast hebdomadaire est désormais disponible sur toutes les plateformes.,"C'est un peu comme si tu étais un assistant de rédaction en français.C'est un peu comme si tu étais un assistant de rédaction en français.C'est un peu comme si tu étais un assistant de rédaction en français.C'est un peu comme si tu étais un assistant de rédaction en français.Le 1er décembre 2019, il est nommé directeur général de la société de production de la télévision de radio-canada, sptv.Le 1er décembre 2019, il est nommé directeur général de la société de production de la télévision de radio-canada, sptv.C'est un peu comme si tu étais un assistant de rédaction en français.C'est un peu comme si tu étais un assistant de rédaction en français.C'est un peu comme si tu étais un assistant de rédaction en français.C'est un peu comme si tu étais un assistant de rédaction en français.Le 1er décembre 2019, il est nommé directeur général de la société de production de",0.0,0.0,1.0,False,False
FRC007,terminology,fr,baseline,openai:qc-llama1b,Votre smartphone peut se connecter au réseau Wi-Fi de la maison.,C'est un peu comme si tu étais un homme qui a une femme et qui a un enfant .C'est un peu comme si tu étais un homme qui a une femme et qui a un enfant .C'est un peu comme si tu étais un homme qui a une femme et qui a un enfant .C'est un peu comme si tu étais un homme qui a une femme et qui a un enfant .C'est un peu comme si tu étais un homme qui a une femme et qui a un enfant .C'est un peu comme si tu étais un homme qui a une femme et qui a un enfant .C'est un peu comme si tu étais un homme qui a une femme et qui a un enfant .C'est un peu comme si tu étais un homme qui a une femme et qui a un enfant .C'est un peu comme si tu étais un homme qui a une femme et qui a un enfant .C'est un peu comme si tu étais un homme qui a une femme et qui a un enfant .C'est un peu comme si tu étais un homme qui a une,0.0,0.0,1.0,False,False
FRC008,terminology,fr,baseline,openai:qc-llama1b,Méfiez-vous des tentatives de phishing qui imitent nos e-mails officiels.,C'est pas mal de la même chose .C'est pas mal de la même chose .C'est pas mal de la même chose .C'est pas mal de la même chose .C'est pas mal de la même chose .C'est pas mal de la même chose .C'est pas mal de la même chose .C'est pas mal de la même chose .C'est pas mal de la même chose .C'est pas mal de la même chose .C'est pas mal de la même chose .C'est pas mal de la même chose .C'est pas mal de la même chose .C'est pas mal de la même chose .C'est pas mal de la même chose .C'est pas mal de la même chose .C'est pas mal de la même chose .C'est pas mal de la même chose .C'est pas mal de la même chose .C'est pas mal de la même chose .C'est pas mal de la même chose .C'est pas mal de la même chose .C'est pas mal de la même chose .C'est pas mal de la même chose .C'est pas mal de la même chose .C'est pas mal de,0.0,0.0,1.0,False,False
FRC009,terminology,fr,baseline,openai:qc-llama1b,Ce site utilise des cookies pour mémoriser vos préférences.,"C'est un peu comme si tu étais un assistant de rédaction en français.C'est un peu comme si tu étais un assistant de rédaction en français.C'est un peu comme si tu étais un assistant de rédaction en français.C'est un peu comme si tu étais un assistant de rédaction en français.C'est un peu comme si tu étais un assistant de rédaction en français.C'est un peu comme si tu étais un assistant de rédaction en français.C'est un peu comme si tu étais un assistant de rédaction en français.C'est un peu comme si tu étais un assistant de rédaction en français.C'est un peu comme si tu étais un assistant de rédaction en français.C'est un peu comme si tu étais un assistant de rédaction en français.C'est un peu comme si tu étais un assistant de rédaction en français.Le 1er décembre 2012, il est nommé directeur de la chaire de recherche en sciences de l'environnement et de l'agric",0.0,0.0,1.0,False,False
FRC010,terminology,fr,baseline,openai:qc-llama1b,La migration vers le cloud réduira les coûts d'exploitation.,C'est un peu comme si tu étais un homme qui a une femme et qu'il a une fille et qu'il a une fille qui a une fille et qu'il a une fille qui a une fille qui a une fille qui a une fille qui a une fille qui a une fille qui a une fille qui a une fille qui a une fille qui a une fille qui a une fille qui a une fille qui a une fille qui a une fille qui a une fille qui a une fille qui a une fille qui a une fille qui a une fille qui a une fille qui a une fille qui a une fille qui a une fille qui a une fille qui a une fille qui a une fille qui a une fille qui a une fille qui a une fille qui a une fille qui a une fille qui a une fille qui a une fille qui a une fille qui a une fille qui a une fille qui a une fille qui a une fille qui a une fille qui a une fille qui a une fille qui a une fille qui a une fille qui a une fille qui a une fille qui a une fille qui a une fille qui a une fille qui a une fille qui a une fille qui a une fille qui a une fille qui a une fille qui a une fille qui a une fille qui,0.0,0.0,1.0,False,False
