test_id,category,variety,condition,model,input,output,source_retention,cross_substitution_rate,protected_term_loss,unchanged,suspect_reasoning_leak
FRC001,lexical,fr,baseline,openai:qc-croissant,Vous pouvez consulter votre dossier en ligne et nous contacter par e-mail.,Ça fait 10 ans que je suis sur le dépotoir et je n'ai jamais vu un tel niveau de méchanceté .,0.0,0.0,1.0,False,False
FRC001,lexical,fr,canadian,openai:qc-croissant,Vous pouvez consulter votre dossier en ligne et nous contacter par e-mail.,Ça fait 10 ans que je suis sur le dépotoir et je n'ai jamais vu un tel sujet .,0.0,0.0,1.0,False,False
FRC001,lexical,fr,metropolitan,openai:qc-croissant,Vous pouvez consulter votre dossier en ligne et nous contacter par e-mail.,Ça fait 10 ans que je suis sur le dépotoir et je n'ai jamais vu un tel niveau de méchanceté .,0.0,0.0,1.0,False,False
FRC001,lexical,fr,proofread,openai:qc-croissant,Vous pouvez consulter votre dossier en ligne et nous contacter par e-mail.,Ça fait 10 ans que je suis sur le dépotoir et je n'ai jamais vu un tel sujet .,0.0,0.0,1.0,False,False
FRC002,lexical,fr,baseline,openai:qc-croissant,Le parking est accessible derrière le bâtiment à partir de 7 h.,Ça fait 10 ans que je suis sur le dépotoir et je n'ai jamais vu un tel sujet .,0.0,0.0,1.0,False,False
FRC002,lexical,fr,canadian,openai:qc-croissant,Le parking est accessible derrière le bâtiment à partir de 7 h.,Ça fait 10 ans que je suis sur le dépotoir et je n'ai jamais vu un tel sujet .,0.0,0.0,1.0,False,False
FRC002,lexical,fr,metropolitan,openai:qc-croissant,Le parking est accessible derrière le bâtiment à partir de 7 h.,Ça fait 10 ans que je suis sur le dépotoir et je n'ai jamais vu un tel sujet .,0.0,0.0,1.0,False,False
FRC002,lexical,fr,proofread,openai:qc-croissant,Le parking est accessible derrière le bâtiment à partir de 7 h.,Ça fait longtemps que je n'ai pas vu de vidéo de toi .,0.0,0.0,1.0,False,False
FRC003,lexical,fr,baseline,openai:qc-croissant,L'activité aura lieu le week-end prochain au centre social.,Ça fait longtemps que je n'ai pas vu de vidéo de toi .,0.0,0.0,1.0,False,False
FRC003,lexical,fr,canadian,openai:qc-croissant,L'activité aura lieu le week-end prochain au centre social.,2019 - Prix du gouverneur général pour les arts du spectacle,0.0,0.0,1.0,False,False
FRC003,lexical,fr,metropolitan,openai:qc-croissant,L'activité aura lieu le week-end prochain au centre social.,Ça fait 10 ans que je suis sur le dépotoir et je n'ai jamais vu un tel niveau de méchanceté .,0.0,0.0,1.0,False,False
FRC003,lexical,fr,proofread,openai:qc-croissant,L'activité aura lieu le week-end prochain au centre social.,Ça fait 10 ans que je suis sur le dépotoir et je n'ai jamais vu un tel niveau de méchanceté .,0.0,0.0,1.0,False,False
FRC004,lexical,fr,baseline,openai:qc-croissant,Profitez de nos soldes pour faire votre shopping de Noël.,Ça fait 10 ans que je suis sur le dépotoir et je n'ai jamais vu un tel niveau de méchanceté .,0.0,0.0,1.0,False,False
FRC004,lexical,fr,canadian,openai:qc-croissant,Profitez de nos soldes pour faire votre shopping de Noël.,Ça fait 10 ans que je suis sur le dépotoir et je n'ai jamais vu un tel niveau de méchanceté .,0.0,0.0,1.0,False,False
FRC004,lexical,fr,metropolitan,openai:qc-croissant,Profitez de nos soldes pour faire votre shopping de Noël.,Ça fait 10 ans que je suis sur le dépotoir et je n'ai jamais vu un tel niveau de méchanceté .,0.0,0.0,1.0,False,False
FRC004,lexical,fr,proofread,openai:qc-croissant,Profitez de nos soldes pour faire votre shopping de Noël.,Ça fait 10 ans que je suis sur le dépotoir et je n'ai jamais vu un tel niveau de méchanceté .,0.0,0.0,1.0,False,False
FRC005,lexical,fr,baseline,openai:qc-croissant,Ce pull en laine est disponible en trois couleurs.,2019 - 2020 Les invincibles série télévisée martin,0.0,0.0,1.0,False,False
FRC005,lexical,fr,canadian,openai:qc-croissant,Ce pull en laine est disponible en trois couleurs.,2019 - Prix du gouverneur général pour les arts du spectacle,0.0,0.0,1.0,False,False
FRC005,lexical,fr,metropolitan,openai:qc-croissant,Ce pull en laine est disponible en trois couleurs.,Ça fait 10 ans que je suis sur le dépotoir et je n'ai jamais vu un tel sujet .,0.0,0.0,1.0,False,False
FRC005,lexical,fr,proofread,openai:qc-croissant,Ce pull en laine est disponible en trois couleurs.,2019 - Prix du gouverneur général du canada pour la meilleure œuvre de fiction pour la série les aventures de julie,0.0,0.0,1.0,False,False
FRC006,lexical,fr,baseline,openai:qc-croissant,Notre podcast hebdomadaire est désormais disponible sur toutes les plateformes.,Ça fait 10 ans que je suis sur le dépotoir et je n'ai jamais vu un tel niveau de méchanceté .,0.0,0.0,1.0,False,False
FRC006,lexical,fr,canadian,openai:qc-croissant,Notre podcast hebdomadaire est désormais disponible sur toutes les plateformes.,Ça fait 10 ans que je suis sur le dépotoir et je n'ai jamais vu un tel niveau de méchanceté .,0.0,0.0,1.0,False,False
