test_id,category,variety,condition,model,input,output,source_retention,cross_substitution_rate,protected_term_loss,unchanged,suspect_reasoning_leak
FRC001,lexical,fr,baseline,openai:meta-llama/llama-3.3-70b-instruct,Vous pouvez consulter votre dossier en ligne et nous contacter par e-mail.,Il vous est possible de consulter votre dossier en ligne et de nous adresser un message électronique.,0.0,0.0,1.0,False,False
FRC001,lexical,fr,canadian,openai:meta-llama/llama-3.3-70b-instruct,Vous pouvez consulter votre dossier en ligne et nous contacter par e-mail.,Vous pouvez consulter votre dossier en ligne et nous contacter par courriel.,0.0,1.0,1.0,False,False
FRC001,lexical,fr,metropolitan,openai:meta-llama/llama-3.3-70b-instruct,Vous pouvez consulter votre dossier en ligne et nous contacter par e-mail.,Il vous est possible de consulter votre dossier sur notre site internet et de nous adresser un message électronique.,0.0,0.0,1.0,False,False
FRC001,lexical,fr,proofread,openai:meta-llama/llama-3.3-70b-instruct,Vous pouvez consulter votre dossier en ligne et nous contacter par e-mail.,Vous pouvez consulter votre dossier en ligne et nous contacter par courriel.,0.0,1.0,1.0,False,False
FRC002,lexical,fr,baseline,openai:meta-llama/llama-3.3-70b-instruct,Le parking est accessible derrière le bâtiment à partir de 7 h.,Le parking est accessible derrière l'immeuble à partir de 7 heures.,1.0,0.0,0.0,False,False
FRC002,lexical,fr,canadian,openai:meta-llama/llama-3.3-70b-instruct,Le parking est accessible derrière le bâtiment à partir de 7 h.,Le stationnement est accessible derrière l'édifice à partir de 7 h.,0.0,1.0,1.0,False,False
FRC002,lexical,fr,metropolitan,openai:meta-llama/llama-3.3-70b-instruct,Le parking est accessible derrière le bâtiment à partir de 7 h.,L'accès au parking se situe à l'arrière de l'immeuble et est ouvert à partir de 7 heures du matin.,1.0,0.0,0.0,False,False
FRC002,lexical,fr,proofread,openai:meta-llama/llama-3.3-70b-instruct,Le parking est accessible derrière le bâtiment à partir de 7 h.,Le parking est accessible derrière le bâtiment à partir de 7 heures.,1.0,0.0,0.0,False,False
FRC003,lexical,fr,baseline,openai:meta-llama/llama-3.3-70b-instruct,L'activité aura lieu le week-end prochain au centre social.,L'événement se déroulera le week-end prochain au centre social.,1.0,0.0,0.0,False,False
FRC003,lexical,fr,canadian,openai:meta-llama/llama-3.3-70b-instruct,L'activité aura lieu le week-end prochain au centre social.,L'activité se tiendra le week-end prochain au centre communautaire.,1.0,0.0,0.0,False,False
