test_id,category,variety,condition,model,input,output,source_retention,cross_substitution_rate,protected_term_loss,unchanged,suspect_reasoning_leak
FRC001,lexical,fr,baseline,llama3.1:8b,Vous pouvez consulter votre dossier en ligne et nous contacter par e-mail.,Vous pouvez consulter votre dossier en ligne et nous contacter via notre adresse e-mail.,1.0,0.0,0.0,False,False
FRC001,lexical,fr,canadian,llama3.1:8b,Vous pouvez consulter votre dossier en ligne et nous contacter par e-mail.,Vous pouvez consulter votre dossier en ligne et nous joindre par courriel.,0.0,1.0,1.0,False,False
FRC001,lexical,fr,metropolitan,llama3.1:8b,Vous pouvez consulter votre dossier en ligne et nous contacter par e-mail.,Vous pouvez accéder à vos informations personnelles en ligne et nous joindre via un courriel si vous avez besoin de plus d'informations ou de l'aide.,0.0,1.0,1.0,False,False
FRC001,lexical,fr,proofread,llama3.1:8b,Vous pouvez consulter votre dossier en ligne et nous contacter par e-mail.,Vous pouvez consulter votre dossier en ligne et nous contacter par courriel.,0.0,1.0,1.0,False,False
FRC002,lexical,fr,baseline,llama3.1:8b,Le parking est accessible derrière le bâtiment à partir de 7 h.,Le parking est accessible depuis l'arrière du bâtiment à partir de 7 heures.,1.0,0.0,0.0,False,False
FRC002,lexical,fr,canadian,llama3.1:8b,Le parking est accessible derrière le bâtiment à partir de 7 h.,Le stationnement est accessible par l'arrière du bâtiment dès 7 heures.,0.0,1.0,1.0,False,False
FRC002,lexical,fr,metropolitan,llama3.1:8b,Le parking est accessible derrière le bâtiment à partir de 7 h.,Vous pouvez accéder au parking par l'arrière du bâtiment à partir de 7 heures.,1.0,0.0,0.0,False,False
FRC002,lexical,fr,proofread,llama3.1:8b,Le parking est accessible derrière le bâtiment à partir de 7 h.,Le parking est accessible derrière le bâtiment à partir de 7 heures.,1.0,0.0,0.0,False,False
FRC003,lexical,fr,baseline,llama3.1:8b,L'activité aura lieu le week-end prochain au centre social.,L'événement se déroulera le week-end suivant dans les locaux du centre communautaire.,1.0,0.0,0.0,False,False
FRC003,lexical,fr,canadian,llama3.1:8b,L'activité aura lieu le week-end prochain au centre social.,L'activité aura lieu le week-end qui vient au centre social.,1.0,0.0,0.0,False,False
FRC003,lexical,fr,metropolitan,llama3.1:8b,L'activité aura lieu le week-end prochain au centre social.,L'activité est prévue pour le week-end qui vient de s'ouvrir au sein du centre social.,1.0,0.0,0.0,False,False
FRC003,lexical,fr,proofread,llama3.1:8b,L'activité aura lieu le week-end prochain au centre social.,L'activité aura lieu le week-end prochain au centre social. (pas d'erreur à corriger),1.0,0.0,0.0,False,False
FRC004,lexical,fr,baseline,llama3.1:8b,Profitez de nos soldes pour faire votre shopping de Noël.,Profitez de nos soldes pour faire vos achats de Noël.,0.0,0.0,1.0,False,False
FRC004,lexical,fr,canadian,llama3.1:8b,Profitez de nos soldes pour faire votre shopping de Noël.,Profitons des soldes pour faire notre shopping de fin d'année !,1.0,0.0,0.0,False,False
FRC004,lexical,fr,metropolitan,llama3.1:8b,Profitez de nos soldes pour faire votre shopping de Noël.,Faites vos achats de Noël dans la bonne humeur ! Nos soldes sont là pour vous aider à trouver les meilleurs cadeaux pour vos proches.,0.0,0.0,1.0,False,False
FRC004,lexical,fr,proofread,llama3.1:8b,Profitez de nos soldes pour faire votre shopping de Noël.,Profitez de nos soldes pour faire vos achats de Noël.,0.0,0.0,1.0,False,False
FRC005,lexical,fr,baseline,llama3.1:8b,Ce pull en laine est disponible en trois couleurs.,Ce pull en laine est disponible dans trois différentes teintes.,1.0,0.0,0.0,False,False
FRC005,lexical,fr,canadian,llama3.1:8b,Ce pull en laine est disponible en trois couleurs.,Ce pull en laine est offert dans trois teintes différentes.,1.0,0.0,0.0,False,False
