test_id,category,variety,condition,model,input,output,source_retention,cross_substitution_rate,protected_term_loss,unchanged,suspect_reasoning_leak
FRC001,lexical,fr,baseline,transformers:Mistral-7B-Instruct-v0.3,Vous pouvez consulter votre dossier en ligne et nous contacter par e-mail.,Vous pouvez consulter votre dossier en ligne et nous contacter par courriel.,0.0,1.0,1.0,False,False
FRC001,lexical,fr,canadian,transformers:Mistral-7B-Instruct-v0.3,Vous pouvez consulter votre dossier en ligne et nous contacter par e-mail.,Vous pouvez consulter votre dossier en ligne et nous contacter par courriel.,0.0,1.0,1.0,False,False
FRC001,lexical,fr,metropolitan,transformers:Mistral-7B-Instruct-v0.3,Vous pouvez consulter votre dossier en ligne et nous contacter par e-mail.,Vous pouvez consulter votre dossier en ligne et nous joindre par courriel.,0.0,1.0,1.0,False,False
FRC001,lexical,fr,proofread,transformers:Mistral-7B-Instruct-v0.3,Vous pouvez consulter votre dossier en ligne et nous contacter par e-mail.,Vous pouvez consulter votre dossier en ligne et nous contacter par courriel.,0.0,1.0,1.0,False,False
FRC002,lexical,fr,baseline,transformers:Mistral-7B-Instruct-v0.3,Le parking est accessible derrière le bâtiment à partir de 7 h.,Le parking est accessible derrière l'édifice à partir de 7 h.,1.0,0.0,0.0,False,False
FRC002,lexical,fr,canadian,transformers:Mistral-7B-Instruct-v0.3,Le parking est accessible derrière le bâtiment à partir de 7 h.,Le parking est accessible à l'arrière du bâtiment à partir de 7 h.,1.0,0.0,0.0,False,False
FRC002,lexical,fr,metropolitan,transformers:Mistral-7B-Instruct-v0.3,Le parking est accessible derrière le bâtiment à partir de 7 h.,Le parking est accessible en arrière du bâtiment à partir de 7 heures.,1.0,0.0,0.0,False,False
FRC002,lexical,fr,proofread,transformers:Mistral-7B-Instruct-v0.3,Le parking est accessible derrière le bâtiment à partir de 7 h.,Le parking est accessible derrière le bâtiment à partir de 7 heures.,1.0,0.0,0.0,False,False
FRC003,lexical,fr,baseline,transformers:Mistral-7B-Instruct-v0.3,L'activité aura lieu le week-end prochain au centre social.,L'activité aura lieu le week-end à venir au centre social.,1.0,0.0,0.0,False,False
FRC003,lexical,fr,canadian,transformers:Mistral-7B-Instruct-v0.3,L'activité aura lieu le week-end prochain au centre social.,L'activité aura lieu le week-end à venir au centre social communautaire.,1.0,0.0,0.0,False,False
FRC003,lexical,fr,metropolitan,transformers:Mistral-7B-Instruct-v0.3,L'activité aura lieu le week-end prochain au centre social.,L'activité aura lieu le week-end à venir au centre social.,1.0,0.0,0.0,False,False
FRC003,lexical,fr,proofread,transformers:Mistral-7B-Instruct-v0.3,L'activité aura lieu le week-end prochain au centre social.,L'activité aura lieu le week-end prochain au centre social.,1.0,0.0,0.0,True,False
FRC004,lexical,fr,baseline,transformers:Mistral-7B-Instruct-v0.3,Profitez de nos soldes pour faire votre shopping de Noël.,Profitez de nos réductions pour faire vos achats de Noël.,0.0,0.0,1.0,False,False
FRC004,lexical,fr,canadian,transformers:Mistral-7B-Instruct-v0.3,Profitez de nos soldes pour faire votre shopping de Noël.,Profitez de nos réductions pour faire vos achats de Noël.,0.0,0.0,1.0,False,False
FRC004,lexical,fr,metropolitan,transformers:Mistral-7B-Instruct-v0.3,Profitez de nos soldes pour faire votre shopping de Noël.,Profitez de nos réductions pour faire vos achats de Noël.,0.0,0.0,1.0,False,False
FRC004,lexical,fr,proofread,transformers:Mistral-7B-Instruct-v0.3,Profitez de nos soldes pour faire votre shopping de Noël.,Profitez de nos soldes pour faire vos achats de Noël.,0.0,0.0,1.0,False,False
FRC005,lexical,fr,baseline,transformers:Mistral-7B-Instruct-v0.3,Ce pull en laine est disponible en trois couleurs.,"Ce pull en laine est disponible en trois couleurs : bleu, rouge et noir.",1.0,0.0,0.0,False,False
FRC005,lexical,fr,canadian,transformers:Mistral-7B-Instruct-v0.3,Ce pull en laine est disponible en trois couleurs.,"Ce pull en laine est disponible en trois couleurs, à savoir le bleu marine, le rouge ciel et le vert olive.",1.0,0.0,0.0,False,False
FRC005,lexical,fr,metropolitan,transformers:Mistral-7B-Instruct-v0.3,Ce pull en laine est disponible en trois couleurs.,"Ce pull en laine est disponible en trois couleurs : bleu marine, rouge cœur et blanc neige.",1.0,0.0,0.0,False,False
FRC005,lexical,fr,proofread,transformers:Mistral-7B-Instruct-v0.3,Ce pull en laine est disponible en trois couleurs.,"Ce pull en laine est disponible en trois couleurs : bleu, rouge et noir.",1.0,0.0,0.0,False,False
FRC006,lexical,fr,baseline,transformers:Mistral-7B-Instruct-v0.3,Notre podcast hebdomadaire est désormais disponible sur toutes les plateformes.,Notre podcast hebdomadaire est maintenant accessible sur toutes les plateformes.,1.0,0.0,0.0,False,False
FRC006,lexical,fr,canadian,transformers:Mistral-7B-Instruct-v0.3,Notre podcast hebdomadaire est désormais disponible sur toutes les plateformes.,Notre podcast hebdomadaire est maintenant accessible sur toutes les plateformes.,1.0,0.0,0.0,False,False
FRC006,lexical,fr,metropolitan,transformers:Mistral-7B-Instruct-v0.3,Notre podcast hebdomadaire est désormais disponible sur toutes les plateformes.,Notre podcast hebdomadaire est maintenant accessible sur toutes les plateformes de diffusion.,1.0,0.0,0.0,False,False
FRC006,lexical,fr,proofread,transformers:Mistral-7B-Instruct-v0.3,Notre podcast hebdomadaire est désormais disponible sur toutes les plateformes.,Notre podcast hebdomadaire est désormais disponible sur toutes les plateformes de streaming.,1.0,0.0,0.0,False,False
FRC007,terminology,fr,baseline,transformers:Mistral-7B-Instruct-v0.3,Votre smartphone peut se connecter au réseau Wi-Fi de la maison.,Votre smartphone peut se connecter au réseau Wi-Fi de la maison.,1.0,0.0,0.0,True,False
FRC007,terminology,fr,canadian,transformers:Mistral-7B-Instruct-v0.3,Votre smartphone peut se connecter au réseau Wi-Fi de la maison.,Ton smartphone peut se connecter au réseau Wi-Fi de la maisonnette.,1.0,0.0,0.0,False,False
FRC007,terminology,fr,metropolitan,transformers:Mistral-7B-Instruct-v0.3,Votre smartphone peut se connecter au réseau Wi-Fi de la maison.,Ton smartphone peut se connecter au réseau Wi-Fi de la maisonnette.,1.0,0.0,0.0,False,False
FRC007,terminology,fr,proofread,transformers:Mistral-7B-Instruct-v0.3,Votre smartphone peut se connecter au réseau Wi-Fi de la maison.,Votre smartphone peut se connecter au réseau Wi-Fi de la maison.,1.0,0.0,0.0,True,False
FRC008,terminology,fr,baseline,transformers:Mistral-7B-Instruct-v0.3,Méfiez-vous des tentatives de phishing qui imitent nos e-mails officiels.,Veillez à vous méfier des tentatives de phishing qui imitent nos e-mails officiels.,1.0,0.0,0.0,False,False
FRC008,terminology,fr,canadian,transformers:Mistral-7B-Instruct-v0.3,Méfiez-vous des tentatives de phishing qui imitent nos e-mails officiels.,Veillez à vous méfier des tentatives de phishing qui imitent nos courriels officiels.,1.0,0.0,0.0,False,False
FRC008,terminology,fr,metropolitan,transformers:Mistral-7B-Instruct-v0.3,Méfiez-vous des tentatives de phishing qui imitent nos e-mails officiels.,Veillez à vous garder de tomber dans les pièges de l'empoisonnement par courriel qui imitent nos courriels officiels.,0.0,0.0,1.0,False,False
FRC008,terminology,fr,proofread,transformers:Mistral-7B-Instruct-v0.3,Méfiez-vous des tentatives de phishing qui imitent nos e-mails officiels.,Veillez à vous méfier des tentatives de phishing qui imitent nos e-mails officiels.,1.0,0.0,0.0,False,False
FRC009,terminology,fr,baseline,transformers:Mistral-7B-Instruct-v0.3,Ce site utilise des cookies pour mémoriser vos préférences.,Ce site utilise des cookies pour enregistrer vos préférences.,1.0,0.0,0.0,False,False
FRC009,terminology,fr,canadian,transformers:Mistral-7B-Instruct-v0.3,Ce site utilise des cookies pour mémoriser vos préférences.,Ce site emploie des cookies pour enregistrer vos préférences.,1.0,0.0,0.0,False,False
FRC009,terminology,fr,metropolitan,transformers:Mistral-7B-Instruct-v0.3,Ce site utilise des cookies pour mémoriser vos préférences.,Ce site emploie des cookies pour enregistrer vos préférences.,1.0,0.0,0.0,False,False
FRC009,terminology,fr,proofread,transformers:Mistral-7B-Instruct-v0.3,Ce site utilise des cookies pour mémoriser vos préférences.,Ce site utilise des cookies pour mémoriser vos préférences.,1.0,0.0,0.0,True,False
FRC010,terminology,fr,baseline,transformers:Mistral-7B-Instruct-v0.3,La migration vers le cloud réduira les coûts d'exploitation.,La migration vers la cloud réduira les coûts d'exploitation.,1.0,0.0,0.0,False,False
FRC010,terminology,fr,canadian,transformers:Mistral-7B-Instruct-v0.3,La migration vers le cloud réduira les coûts d'exploitation.,La migration vers la nuage réduira les frais d'exploitation.,0.0,0.0,1.0,False,False
