test_id,category,variety,condition,model,input,output,source_retention,cross_substitution_rate,protected_term_loss,unchanged,suspect_reasoning_leak
FRC001,lexical,fr,baseline,choco-fr,Vous pouvez consulter votre dossier en ligne et nous contacter par e-mail.,Consultez votre portfolio en ligne et contactez-nous par courriel.,0.0,1.0,1.0,False,False
FRC001,lexical,fr,canadian,choco-fr,Vous pouvez consulter votre dossier en ligne et nous contacter par e-mail.,On peut accéder à ses dossiers via notre plateforme web et communiquer avec nous au moyen de courriels électroniques.,0.0,1.0,1.0,False,False
FRC001,lexical,fr,metropolitan,choco-fr,Vous pouvez consulter votre dossier en ligne et nous contacter par e-mail.,Consultez vos dossiers via notre plateforme en ligne ou écrivez à nos équipes par courriel.,0.0,1.0,1.0,False,False
FRC001,lexical,fr,proofread,choco-fr,Vous pouvez consulter votre dossier en ligne et nous contacter par e-mail.,Vous pouvez consulter votre dossiers en ligne et nous contacter par courriel.,0.0,1.0,1.0,False,False
FRC002,lexical,fr,baseline,choco-fr,Le parking est accessible derrière le bâtiment à partir de 7 h.,L'espace de stationnement se trouve derrière l'immeuble et devient disponible dès 7 heures du matin.,0.0,1.0,1.0,False,False
FRC002,lexical,fr,canadian,choco-fr,Le parking est accessible derrière le bâtiment à partir de 7 h.,L'espace pour stationnement se trouve situé en arrière du édifice depuis les premières heures de l'après-midi.,0.0,1.0,1.0,False,False
FRC002,lexical,fr,metropolitan,choco-fr,Le parking est accessible derrière le bâtiment à partir de 7 h.,"L'accès au stationnement se fait après l'édifice depuis les premières heures du matin, à partir de sept heures du soir.",0.0,1.0,1.0,False,False
FRC002,lexical,fr,proofread,choco-fr,Le parking est accessible derrière le bâtiment à partir de 7 h.,Le parking est accessible depuis la fin du bâtiment à partir de 7 heures.,1.0,0.0,0.0,False,False
FRC003,lexical,fr,baseline,choco-fr,L'activité aura lieu le week-end prochain au centre social.,L'événement se tiendra les jours du samedi et dimanche suivants dans la médiathèque communautaire.,0.0,0.0,1.0,False,False
FRC003,lexical,fr,canadian,choco-fr,L'activité aura lieu le week-end prochain au centre social.,La manifestation se tiendra samedi ou dimanche à venir dans la médiathèque communautaire.,0.0,0.0,1.0,False,False
FRC003,lexical,fr,metropolitan,choco-fr,L'activité aura lieu le week-end prochain au centre social.,La manifestation se tiendra dans les locaux du centre communautaire pour la semaine suivante.,0.0,0.0,1.0,False,False
FRC003,lexical,fr,proofread,choco-fr,L'activité aura lieu le week-end prochain au centre social.,L'activité se tiendra le week-end prochain dans la salle du centre social.,1.0,0.0,0.0,False,False
FRC004,lexical,fr,baseline,choco-fr,Profitez de nos soldes pour faire votre shopping de Noël.,Tirez profit des promotions spéciales pour réaliser vos achats de fin d'année.,0.0,0.0,1.0,False,False
FRC004,lexical,fr,canadian,choco-fr,Profitez de nos soldes pour faire votre shopping de Noël.,Déplace-toi dans notre marathon d'offres spéciales à l'occasion du marché des fêtes de fin d'année.,0.0,0.0,1.0,False,False
FRC004,lexical,fr,metropolitan,choco-fr,Profitez de nos soldes pour faire votre shopping de Noël.,Saisissez les promotions spéciales en vente pendant cette période festive du commerce des articles de fin d'année.,0.0,0.0,1.0,False,False
FRC004,lexical,fr,proofread,choco-fr,Profitez de nos soldes pour faire votre shopping de Noël.,Profitons des soldes pour faire notre achat de Noël.,0.0,0.0,1.0,False,False
FRC005,lexical,fr,baseline,choco-fr,Ce pull en laine est disponible en trois couleurs.,Le pull de laine proposé se décline en trois teintes différentes.,1.0,0.0,0.0,False,False
FRC005,lexical,fr,canadian,choco-fr,Ce pull en laine est disponible en trois couleurs.,On peut se procurer ce pullover de laine dans une trio de teintes différentes.,0.0,0.0,1.0,False,False
FRC005,lexical,fr,metropolitan,choco-fr,Ce pull en laine est disponible en trois couleurs.,Le pullover à base de laine se propose dans une sélection de trois teintes différentes.,0.0,0.0,1.0,False,False
FRC005,lexical,fr,proofread,choco-fr,Ce pull en laine est disponible en trois couleurs.,Ce pull en laine est disponible dans trois couleurs.,1.0,0.0,0.0,False,False
FRC006,lexical,fr,baseline,choco-fr,Notre podcast hebdomadaire est désormais disponible sur toutes les plateformes.,Nos émissions de podcast se tiennent maintenant à travers toutes les plateformes disponibles.,1.0,0.0,0.0,False,False
FRC006,lexical,fr,canadian,choco-fr,Notre podcast hebdomadaire est désormais disponible sur toutes les plateformes.,Nos émissions de radio se tiennent maintenant à travers tous les supports numériques disponibles.,0.0,0.0,1.0,False,False
FRC006,lexical,fr,metropolitan,choco-fr,Notre podcast hebdomadaire est désormais disponible sur toutes les plateformes.,Le nouvel épisode de notre émission quotidienne peut être consommé via divers services d'hébergement en ligne.,0.0,0.0,1.0,False,False
FRC006,lexical,fr,proofread,choco-fr,Notre podcast hebdomadaire est désormais disponible sur toutes les plateformes.,Notre podcast hebdomadaire est désormais accessible dans toutes les plateformes.,1.0,0.0,0.0,False,False
FRC007,terminology,fr,baseline,choco-fr,Votre smartphone peut se connecter au réseau Wi-Fi de la maison.,Le téléphone intelligent est capable d'établir une connexion à un réseau Wi-Fi domestique.,0.0,1.0,1.0,False,False
FRC007,terminology,fr,canadian,choco-fr,Votre smartphone peut se connecter au réseau Wi-Fi de la maison.,Le téléphone intelligent que vous possédez est capable d'établir une connexion à un réseau Wi-Fi domestique.,0.0,1.0,1.0,False,False
FRC007,terminology,fr,metropolitan,choco-fr,Votre smartphone peut se connecter au réseau Wi-Fi de la maison.,Le téléphone intelligent possède la capacité d'établir une connexion à un réseau domestique fonctionnant sur le protocole Wi-Fi.,0.0,1.0,1.0,False,False
FRC007,terminology,fr,proofread,choco-fr,Votre smartphone peut se connecter au réseau Wi-Fi de la maison.,Votre téléphone mobile peut se connecter au réseau Wi-Fi domestique.,0.0,0.0,1.0,False,False
FRC008,terminology,fr,baseline,choco-fr,Méfiez-vous des tentatives de phishing qui imitent nos e-mails officiels.,Préparez-vous contre les escroqueries par courriel ressemblant à ceux que nous envoyons.,0.0,0.0,1.0,False,False
FRC008,terminology,fr,canadian,choco-fr,Méfiez-vous des tentatives de phishing qui imitent nos e-mails officiels.,Préparez-vous contre les escroqueries d'ingénierie visant à vous tromper avec des courriels ressemblants aux nôtres.,0.0,0.0,1.0,False,False
FRC008,terminology,fr,metropolitan,choco-fr,Méfiez-vous des tentatives de phishing qui imitent nos e-mails officiels.,Préparez-vous contre les escroqueries par courriel ressemblant à notre communication électronique officielle.,0.0,0.0,1.0,False,False
FRC008,terminology,fr,proofread,choco-fr,Méfiez-vous des tentatives de phishing qui imitent nos e-mails officiels.,Méfiez-vous des tentatives de phishing qui imitent les emails officiels que nous envoyons.,1.0,0.0,0.0,False,False
FRC009,terminology,fr,baseline,choco-fr,Ce site utilise des cookies pour mémoriser vos préférences.,Ce site recueille des données via des cookies afin de personnaliser votre expérience.,1.0,0.0,0.0,False,False
FRC009,terminology,fr,canadian,choco-fr,Ce site utilise des cookies pour mémoriser vos préférences.,On se sert de cookies pour stocker tes goûts personnels sur ce site web.,1.0,0.0,0.0,False,False
FRC009,terminology,fr,metropolitan,choco-fr,Ce site utilise des cookies pour mémoriser vos préférences.,Le contenu de ce site est géré par l'utilisation de cookies afin d'enregistrer les choix personnels du visiteur.,1.0,0.0,0.0,False,False
FRC009,terminology,fr,proofread,choco-fr,Ce site utilise des cookies pour mémoriser vos préférences.,Ce site utilise des cookies afin de stocker vos préférences personnelles.,1.0,0.0,0.0,False,False
FRC010,terminology,fr,baseline,choco-fr,La migration vers le cloud réduira les coûts d'exploitation.,L'adoption du cloud économisera les dépenses opérationnelles.,1.0,0.0,0.0,False,False
FRC010,terminology,fr,canadian,choco-fr,La migration vers le cloud réduira les coûts d'exploitation.,L'adoption du cloud va diminuer les dépenses liées à l'exploitation des systèmes informatiques.,1.0,0.0,0.0,False,False
FRC010,terminology,fr,metropolitan,choco-fr,La migration vers le cloud réduira les coûts d'exploitation.,L'adoption de l'infrastructure en nuage minimisera les dépenses liées à la gestion des serveurs physiques.,0.0,0.0,1.0,False,False
FRC010,terminology,fr,proofread,choco-fr,La migration vers le cloud réduira les coûts d'exploitation.,La migration vers le cloud devrait réduire les coûts d'exploitation.,1.0,0.0,0.0,False,False
FRC011,semantic,fr,baseline,choco-fr,Le petit-déjeuner sera servi à 8 h dans le hall d'entrée.,Le petit-déjeuner sera dispensé au salon de l'accueil aux 8 heures du matin.,1.0,0.0,0.0,False,False
FRC011,semantic,fr,canadian,choco-fr,Le petit-déjeuner sera servi à 8 h dans le hall d'entrée.,L'aubaine matinale se tiendra au salon de l'accueil aux horaires précisés à minuit et demie heure du jour.,0.0,0.0,1.0,False,False
FRC011,semantic,fr,metropolitan,choco-fr,Le petit-déjeuner sera servi à 8 h dans le hall d'entrée.,La distribution du petit déjeuner aura lieu au salon de l'accueil aux horaires de 08 heures précises.,1.0,0.0,0.0,False,False
FRC011,semantic,fr,proofread,choco-fr,Le petit-déjeuner sera servi à 8 h dans le hall d'entrée.,Le petit déjeuner sera servi au hall d'entrée à 8 heures.,1.0,0.0,0.0,False,False
FRC012,semantic,fr,baseline,choco-fr,"Après le déjeuner, nous retournerons au travail vers 13 h.","Après le dîner, revenrons travailler à partir de 13 heures.",0.0,1.0,1.0,False,False
FRC012,semantic,fr,canadian,choco-fr,"Après le déjeuner, nous retournerons au travail vers 13 h.","Lorsque l'heure du dîner sera passée, il faudra reprendre nos occupations professionnelles à partir de midi heure.",0.0,1.0,1.0,False,False
FRC012,semantic,fr,metropolitan,choco-fr,"Après le déjeuner, nous retournerons au travail vers 13 h.","Suivi de repas terminé, prenons la route pour reprendre nos activités professionnelles à partir des heures treize.",0.0,0.0,1.0,False,False
FRC012,semantic,fr,proofread,choco-fr,"Après le déjeuner, nous retournerons au travail vers 13 h.","Après le déjeuner, nous retournons au travail à 13 heures.",1.0,0.0,0.0,False,False
FRC013,register,fr,baseline,choco-fr,"Bonjour, merci de nous avoir contactés. Nous avons bien reçu votre demande et un conseiller vous rappellera sous deux jours ouvrés.","Cher utilisateur, en remerciement pour vos informations, notre équipe a pris connaissance de votre requête. Un représentant sera à votre écoute dans les prochaines quatre semaines.",0.0,0.0,1.0,False,False
FRC013,register,fr,canadian,choco-fr,"Bonjour, merci de nous avoir contactés. Nous avons bien reçu votre demande et un conseiller vous rappellera sous deux jours ouvrés.","Salutations, on t'a bien entendu lorsqu'il s'est passé. Un spécialiste se tiendra à l'écoute dans les prochains temps-là.",0.0,0.0,1.0,False,False
FRC013,register,fr,metropolitan,choco-fr,"Bonjour, merci de nous avoir contactés. Nous avons bien reçu votre demande et un conseiller vous rappellera sous deux jours ouvrés.","Cher client, en appréciation de votre message, assurons-vous que notre service répondra à vos attentes dans les prochaines semaines. Un spécialiste sera joignable pour une réponse personnalisée au plus tard deux jours ouvrables.",0.0,1.0,1.0,False,False
FRC013,register,fr,proofread,choco-fr,"Bonjour, merci de nous avoir contactés. Nous avons bien reçu votre demande et un conseiller vous rappellera sous deux jours ouvrés.","Bonjour, merci d'avoir contacté notre entreprise. Notre équipe a bien traitée votre requête et un conseiller vous rejoindra dans les deux prochains jours ouvrables.",0.0,1.0,1.0,False,False
FRC014,grammar,fr,baseline,choco-fr,"Assieds-toi, je vais te raconter ce qui s'est passé hier.","Asseyez-vous, j'envisage de t'expliquer les événements d'hier soir.",0.0,0.0,1.0,False,False
FRC014,grammar,fr,canadian,choco-fr,"Assieds-toi, je vais te raconter ce qui s'est passé hier.","Asseye-toi, j'ai l'intention de t'en dire tout sur les événements d'hier soir.",0.0,0.0,1.0,False,False
FRC014,grammar,fr,metropolitan,choco-fr,"Assieds-toi, je vais te raconter ce qui s'est passé hier.","Asseyez-vous, j'ai l'intention de t'en décrire les événements d'aujourd'hui.",0.0,0.0,1.0,False,False
FRC014,grammar,fr,proofread,choco-fr,"Assieds-toi, je vais te raconter ce qui s'est passé hier.","Asseye-toi, je vais t'en raconter ce qui s'est passé hier.",0.0,0.0,1.0,False,False
FRC015,lexical,fr,baseline,choco-fr,Il y a une supérette ouverte jusqu'à 23 h au coin de la rue.,La boulangerie est restée ouverte jusqu'à minuit à l'angle du trottoir.,0.0,0.0,1.0,False,False
FRC015,lexical,fr,canadian,choco-fr,Il y a une supérette ouverte jusqu'à 23 h au coin de la rue.,Une épicerie est en activité jusqu'à minuit à l'angle du boulevard.,0.0,0.0,1.0,False,False
FRC015,lexical,fr,metropolitan,choco-fr,Il y a une supérette ouverte jusqu'à 23 h au coin de la rue.,La boulangerie familiale fonctionne en permanence jusqu'au crépuscule à minuit sur l'angle du chemin.,0.0,0.0,1.0,False,False
FRC015,lexical,fr,proofread,choco-fr,Il y a une supérette ouverte jusqu'à 23 h au coin de la rue.,Il y a une épicerie ouverte jusqu'à 23 heures au coin de la rue.,0.0,0.0,1.0,False,False
FRC016,lexical,fr,baseline,choco-fr,Le ferry relie Québec et Lévis toutes les vingt minutes.,Le bac assure une liaison entre Québec et Lévis tous les vingt minutes.,1.0,0.0,1.0,False,False
FRC016,lexical,fr,canadian,choco-fr,Le ferry relie Québec et Lévis toutes les vingt minutes.,L'embarcadère assure une liaison quotidienne entre la ville de Québec et celle de Lévis à des intervalles réguliers d'une demi-heure.,0.0,0.0,1.0,False,False
FRC016,lexical,fr,metropolitan,choco-fr,Le ferry relie Québec et Lévis toutes les vingt minutes.,La traversée par bateau assure la liaison entre Québec et Lévis à intervalles réguliers de vingt minutes.,0.0,0.0,1.0,False,False
FRC016,lexical,fr,proofread,choco-fr,Le ferry relie Québec et Lévis toutes les vingt minutes.,Le ferry relie Québec à Lévis toutes les vingt minutes.,1.0,0.0,0.0,False,False
FRC017,lexical,fr,baseline,choco-fr,Utilisez le chat en direct pour parler à un conseiller.,Pour discuter en temps réel avec un conseiller via une plateforme de messagerie instantanée.,0.0,0.0,1.0,False,False
FRC017,lexical,fr,canadian,choco-fr,Utilisez le chat en direct pour parler à un conseiller.,Optez pour une conversation interactive via messagerie instantanée afin de consulter votre guide spirituel.,0.0,0.0,1.0,False,False
FRC017,lexical,fr,metropolitan,choco-fr,Utilisez le chat en direct pour parler à un conseiller.,Pour engager une conversation instantanée avec un conseiller via un canal de messagerie interactif.,0.0,0.0,1.0,False,False
FRC017,lexical,fr,proofread,choco-fr,Utilisez le chat en direct pour parler à un conseiller.,Utilisez le chatroom pour discuter avec un conseiller.,0.0,0.0,1.0,False,False
FRC018,lexical,fr,baseline,choco-fr,Supprimez les spams sans ouvrir les pièces jointes.,Éliminez les publicités non désirées sans ouvrir les fichiers annexes attachés.,0.0,0.0,1.0,False,False
